Organization,PEO C3BM - Command Control Communications and Battle Management
Mission,"DAF Integrating PEO for Command, Control, Communications, and Battle Management (C3BM). Delivering the DAF BATTLE NETWORK to provide resilient decision advantage for Joint and Coalition forces."
Vision,"System-of-Systems Architecture to deliver resilient decision advantage through integrated C3BM capabilities"
Key Leaders - PEO,LTG Luke Cropsey (promoted to Lieutenant General 2025)
Key Leaders - Deputy PEO,"Mr. Gordon R. Kordyak (retiring January 2026, available for consultation)"
Contact Email - Front Door,SAF.PEOC3BM.FrontDoor@us.af.mil
Contact Email - Deputy PEO,gordon.kordyak.3@spaceforce.mil
Location,Hanscom AFB and 12 sites across DAF
Personnel,2500+ personnel transitioned into C3BM in 2024
Key Programs - C2ISR,"DCGS (Distributed Common Ground Station), Extended Tether Program (ETP), GCCS AF, Integrated Broadcast Service (IBS), EOD Info Management System"
Key Programs - Kessel Run,"All Domain Common Platform (ADCP), C2IMERA, KRADOS, Air Operations Center, Targeting & Geospatial Intelligence, Modeling & Simulation"
Key Programs - Mission Planning,"Mission Planning Systems (MPS) for Weapons, Mobility Air Forces, JPADS, Core Mission Planning, CAF-GS, GMSM"
Key Programs - ABMS,"Aerial Networking (Phalanx Griffon, Hybrid SATCOM), Air Base Air Defense System (ABADS), Cloud Based C2 (CBC2), DAF Integrated Fires C2 (DIFC2), Digital Infrastructure, Distributable Battle Management Node (DBMN), Control & Reporting Center (CRC)"
Major Capabilities,"Digital Infrastructure (Network, Cloud, Platform, Data), Software/Applications, Connectivity, Secure Processing"
Strategic Objectives,"1) Integrate the Technical Process, 2) Sort the Stack, 3) Streamline and Scale"
2025 Focus,"Establish technical Review Process, Sort the Stack, Streamline and Scale, Deliver DBN IPTs"
Key Deliverables 2024-2025,"Assigned as Transition PEO for Joint Fires Network, Awarded Digital Infrastructure Network Integrator & Phalanx Griffon Integrator Contracts, ABMS deployed to Air Defense Sectors & CJTF-HOA, Kessel Run CloudCITI 2.0, Air Mission Planning capabilities"
Budget/Portfolio,"Integrates roughly 50 programs of record, ~$13.9B portfolio execution"
Key Stakeholders,"USAF, USSF, Joint and Coalition forces"
Unique Value,"Only DAF BATTLE NETWORK Integrating PEO - drives technical integration across Air/Space C2 & Battle Management"
Upcoming Opportunities 2025-2026,"ArcGIS, MultiStream Platform Support Phase 2, DCGS SIGINT Field Support, IBS Crypto Modernization, KREST, C2SET Follow-on, ASCEND, Flight Ops Enterprise Solution, JTT, Mission Planning Hardware, Remote Digital Infrastructure, Voice Communications, Battle Management Optimization Software"
